Contrato,Empresa,Ciclo,Solicitação,Emissão,Confirmação,Previsão,Valor Faturado,Valor líquido,Impostos,Status
Rede Alpha - AFONSO PENNA,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Jul-25,7/31/25,8/1/25,8/4/25,8/20/25,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Jul-25,7/31/25,8/1/25,8/5/25,8/15/25,R$ 849.65,R$ 703.54,R$ 146.11,Pago
MAM,Mar Brasil,Jul-25,8/26/25,8/26/25,8/26/25,8/26/25,"R$ 52,879.00","R$ 45,371.90","R$ 7,507.10",Pago
Contrato Locação Cellula Mater,Ybox,Jul-25,8/1/25,8/1/25,8/4/25,8/30/25,"R$ 21,402.22","R$ 19,937.36","R$ 1,464.86",Pago
Contrato Locação Polo Play,Ybox,Jul-25,8/1/25,8/1/25,8/4/25,8/20/25,"R$ 7,184.30","R$ 6,692.37",R$ 491.93,Pago
Contrato Locação Posto Door,Ybox,Jul-25,8/1/25,8/1/25,,8/15/25,"R$ 14,531.48","R$ 13,537.01",R$ 994.47,Pago
Locação Casa 03 (Marcos),D.Z.M,Jul-25,8/1/25,8/1/25,8/1/25,8/20/25,"R$ 1,000.00",R$ 890.00,R$ 110.00,Pendente
Locação Casa 06 (Saniele),D.Z.M,Jul-25,8/1/25,8/1/25,8/1/25,8/25/25,R$ 858.57,R$ 768.57,R$ 90.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,8/10/25,"R$ 31,583.33","R$ 26,153.77","R$ 5,429.56",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Jun-25,7/1/25,7/3/25,7/29/25,8/12/25,"R$ 45,559.14","R$ 38,182.55","R$ 7,376.59",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Jun-25,6/30/25,7/1/25,7/3/25,8/11/25,"R$ 460,899.42","R$ 381,665.11","R$ 79,234.31",Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/21/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Jun-25,6/30/25,7/1/25,7/4/25,7/15/25,R$ 800.00,R$ 679.65,R$ 120.35,Pago
Zasso,Mar Brasil,Jun-25,5/30/25,7/1/25,6/10/25,7/21/25,"R$ 3,000.00","R$ 2,574.26",R$ 425.74,Pago
Crestani,Mar Brasil,Jun-25,7/29/25,7/29/25,7/29/25,7/29/25,"R$ 46,259.00","R$ 39,694.28","R$ 6,564.72",Pago
Contrato Locação Cellula Mater,Ybox,Jun-25,7/1/25,7/1/25,,7/30/25,"R$ 21,402.22","R$ 19,937.36","R$ 1,464.86",Pago
Contrato Locação Polo Play,Ybox,Jun-25,7/1/25,7/1/25,7/4/25,7/20/25,"R$ 7,184.30","R$ 6,692.37",R$ 491.93,Pago
Contrato Locação Posto Door,Ybox,Jun-25,7/1/25,7/1/25,,7/15/25,"R$ 14,531.48","R$ 13,537.01",R$ 994.47,Pago
Locação Casa 03 (Marcos),D.Z.M,Jun-25,7/1/25,7/1/25,7/1/25,7/20/25,"R$ 1,000.00",R$ 890.00,R$ 110.00,Pendente
Locação Casa 06 (Saniele),D.Z.M,Jun-25,7/1/25,7/1/25,7/4/25,7/20/25,R$ 822.25,R$ 732.25,R$ 90.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,May-25,5/30/25,6/3/25,,7/3/25,"R$ 31,583.33","R$ 26,147.80","R$ 5,435.53",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,May-25,6/20/25,6/30/25,6/30/25,7/20/25,"R$ 49,831.85","R$ 41,754.05","R$ 8,077.80",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,May-25,5/30/25,6/3/25,6/10/25,6/30/25,"R$ 460,899.42","R$ 381,578.09","R$ 79,321.33",Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,May-25,5/30/25,6/4/25,6/10/25,6/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,May-25,5/30/25,6/2/25,6/10/25,6/15/25,R$ 800.00,R$ 662.32,R$ 137.68,Pago
MAM,Mar Brasil,May-25,5/12/25,5/12/25,5/12/25,5/12/25,"R$ 52,885.75","R$ 45,370.62","R$ 7,515.13",Pago
Município de Guarujá,Mar Brasil,May-25,6/18/25,6/18/25,6/18/25,8/18/25,"R$ 26,947.60","R$ 25,220.23","R$ 1,727.37",Pago
Contrato Locação Cellula Mater,Ybox,May-25,5/30/25,6/2/25,,6/30/25,"R$ 21,402.22","R$ 19,953.23","R$ 1,448.99",Pago
Contrato Locação Polo Play,Ybox,May-25,5/30/25,6/2/25,,6/20/25,"R$ 7,184.30","R$ 6,697.70",R$ 486.60,Pago
Contrato Locação Posto Door,Ybox,May-25,5/30/25,6/2/25,,6/15/25,"R$ 14,531.48","R$ 13,547.78",R$ 983.70,Pago
Locação Casa 03 (Marcos),D.Z.M,May-25,5/30/25,6/2/25,6/2/25,6/20/25,R$ 354.84,R$ 314.23,R$ 40.61,Pago
Locação Casa 06 (Saniele),D.Z.M,May-25,5/30/25,6/2/25,6/2/25,6/24/25,R$ 843.66,R$ 746.41,R$ 97.25,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Apr-25,4/30/25,5/2/25,5/2/25,6/5/25,"R$ 31,583.33","R$ 26,142.29","R$ 5,441.04",Pago
Contrato Ata 54/2024 - ARP,Mar Brasil,Apr-25,5/28/25,5/28/25,5/29/25,5/30/25,"R$ 48,432.00","R$ 40,088.35","R$ 8,343.65",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Apr-25,5/20/25,5/27/25,5/27/25,6/10/25,"R$ 45,672.64","R$ 38,261.08","R$ 7,411.56",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/30/25,"R$ 460,899.42","R$ 381,497.67","R$ 79,401.75",Pago
Contrato 033/2021 - Oftalmo,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,10/8/25,"R$ 5,776.41","R$ 4,954.57",R$ 821.84,Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Apr-25,4/30/25,5/2/25,5/5/25,5/15/25,R$ 800.00,R$ 662.18,R$ 137.82,Pago
MAM,Mar Brasil,Apr-25,4/15/25,4/15/25,4/15/25,4/15/25,"R$ 52,165.78","R$ 44,743.86","R$ 7,421.92",Pago
Comando de Aviação PMSP,Mar Brasil,Apr-25,5/5/25,5/5/25,5/5/25,6/9/25,"R$ 10,890.00","R$ 9,013.92","R$ 1,876.08",Pago
SEINFRA,Mar Brasil,Apr-25,5/27/25,5/27/25,5/27/25,7/3/25,"R$ 2,800.00","R$ 2,317.63",R$ 482.37,Pago
Contrato Locação Cellula Mater,Ybox,Apr-25,4/30/25,5/2/25,5/5/25,6/2/25,"R$ 21,402.22","R$ 19,949.96","R$ 1,452.26",Pago
Contrato Locação Polo Play,Ybox,Apr-25,4/30/25,5/2/25,5/5/25,5/21/25,"R$ 7,184.30","R$ 6,696.61",R$ 487.69,Pago
Contrato Locação Posto Door,Ybox,Apr-25,4/30/25,5/2/25,5/5/25,5/16/25,"R$ 14,531.48","R$ 13,545.56",R$ 985.92,Pago
Locação Casa 06 (Saniele),D.Z.M,Apr-25,4/30/25,5/2/25,5/2/25,5/20/25,R$ 929.73,R$ 826.32,R$ 103.41,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Mar-25,3/31/25,4/2/25,4/8/25,5/21/25,"R$ 31,583.33","R$ 26,162.62","R$ 5,420.71",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Mar-25,4/21/25,4/25/25,4/25/25,5/12/25,"R$ 32,408.84","R$ 27,170.53","R$ 5,238.31",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Mar-25,3/31/25,4/7/25,4/14/25,5/9/25,"R$ 460,899.42","R$ 381,794.31","R$ 79,105.11",Pago
Contrato 033/2021 - Oftalmo,Mar Brasil,Mar-25,3/31/25,4/2/25,,8/5/25,"R$ 14,441.02","R$ 12,395.71","R$ 2,045.31",Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/11/25,R$ 800.00,R$ 662.69,R$ 137.31,Pago
Zasso,Mar Brasil,Mar-25,3/31/25,4/2/25,4/7/25,4/22/25,"R$ 2,850.00","R$ 2,446.35",R$ 403.65,Pago
Contrato Locação Cellula Mater,Ybox,Mar-25,3/31/25,4/1/25,5/2/25,5/15/25,"R$ 21,402.22","R$ 19,956.26","R$ 1,445.96",Pago
Contrato Locação Polo Play,Ybox,Mar-25,3/31/25,4/1/25,4/11/25,4/11/25,"R$ 7,184.30","R$ 6,698.72",R$ 485.58,Pago
Contrato Locação Posto Door,Ybox,Mar-25,3/31/25,4/1/25,4/16/25,4/16/25,"R$ 14,531.48","R$ 13,549.83",R$ 981.65,Pago
Locação Casa 06 (Saniele),D.Z.M,Mar-25,3/31/25,4/1/25,4/1/25,4/22/25,R$ 981.39,R$ 882.16,R$ 99.23,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Feb-25,2/28/25,3/7/25,3/7/25,4/17/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Feb-25,2/28/25,3/7/25,3/7/25,10/1/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Feb-25,2/28/25,3/7/25,3/15/25,4/10/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
Contrato 033/2021 - Oftalmo,Mar Brasil,Feb-25,2/28/25,2/28/25,,3/26/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
